T,Salt,Cs,fs,Cp,Gamma,Eta,Eta_pred,Eta_abs_err
25,NaCl,1,0.5,0.01,1.41,1.1676,1.0768494217252729,0.0907505782747271
25,NaCl,1,0.5,0.01,1.67,0.89195,0.9341531971474928,0.042203197147492766
25,NaCl,1,0.5,0.01,1.98,0.87293,0.9209695996496071,0.048039599649607134
25,NaCl,1,0.5,0.01,2.35,1.0602,0.9997476472013939,0.06045235279860617
25,NaCl,1,0.5,0.01,2.78,0.83781,0.8993369268852542,0.061526926885254185
25,NaCl,1,0.5,0.01,3.3,0.98012,0.947367375656402,0.032752624343597936
25,NaCl,1,0.5,0.01,3.91,0.87082,0.9091306962616896,0.03831069626168959
25,NaCl,1,0.5,0.01,4.64,0.99931,0.9685063352714967,0.030803664728503377
25,NaCl,1,0.5,0.01,5.5,0.8966,0.9319490738377109,0.03534907383771091
25,NaCl,1,0.5,0.01,6.53,0.92545,0.9419568019339555,0.016506801933955484
25,NaCl,1,0.5,0.01,7.74,0.97478,0.9645019715019642,0.01027802849803583
25,NaCl,1,0.5,0.01,9.18,0.97068,0.9694248646000283,0.0012551353999716852
25,NaCl,1,0.5,0.01,10.9,0.97579,0.974256209368509,0.001533790631491061
25,NaCl,1,0.5,0.01,12.9,0.97966,0.9758160131026538,0.003843986897346219
25,NaCl,1,0.5,0.01,15.3,0.9652,0.9673732917036016,0.0021732917036016985
25,NaCl,1,0.5,0.01,18.2,0.94529,0.96253715335737,0.017247153357370038
25,NaCl,1,0.5,0.01,21.5,0.98743,0.9876233358301126,0.00019333583011260647
25,NaCl,1,0.5,0.01,25.6,0.9701,0.9733254214239072,0.0032254214239072487
