Model,R2,RMSE,MAE,Log_RMSE
RandomForest,0.9980068123695132,1342.4799414278934,110.9538665544834,0.04900694686463524
XGBoost,0.9939567134088692,2337.600593921096,258.18123077424,0.09600146987765323
GBT,0.9906699850277418,2904.523429698733,296.036967516833,0.09128042335042909
DecisionTree,0.9889652836084418,3158.743066140993,241.7930930260797,0.07167994463448418
LinearRegression,0.0912501317339639,28665.260591516188,2516.2208271175223,0.6582066953566922
