T,Salt,Cs,fs,Cp,Gamma,Eta_true,Eta_pred_DecisionTree,Eta_pred_RandomForest,Eta_pred_GBT,Eta_pred_XGBoost,Eta_pred_LinearRegression
25,NaCl,1,0.5,0.02,2.78,605.04765,823.0865865112455,690.400920292994,631.2086148506274,630.57294,14.682927620532126
25,NaCl,1,0.5,0.02,3.59,491.67945000000003,823.0865865112455,561.9827866408586,452.68611272234085,621.60297,14.642964535351114
25,NaCl,1,0.5,0.02,4.64,398.74535000000003,261.54261114819286,445.59436405309106,371.56379739545076,598.1432,14.591322377862292
25,NaCl,1,0.5,0.02,5.99,322.96715,261.54261114819286,333.71582949841996,312.7556840628819,404.44232,14.525192846807077
25,NaCl,1,0.5,0.02,7.74,261.55705,261.54261114819286,286.5244378789507,308.8362322360147,287.4685,14.439915246101839
25,NaCl,1,0.5,0.02,10.0,211.85125,261.54261114819286,246.84180572262085,220.34180726823502,185.08102,14.330525682512526
25,NaCl,1,0.5,0.02,12.9,171.4987,261.54261114819286,207.38080743344517,159.65175184174515,140.08807,14.191371588266176
25,NaCl,1,0.5,0.02,16.7,138.91750000000002,92.62636552009653,158.67624059479516,123.42399042781578,125.58389,14.011075007322521
25,NaCl,1,0.5,0.02,21.5,112.8627,92.62636552009653,117.00139457025737,103.11586490165669,118.04082,13.786602409143045
25,NaCl,1,0.5,0.02,27.8,92.1382,92.62636552009653,110.83004801815883,85.53091365495347,79.26863,13.49743064809426
25,NaCl,1,0.5,0.02,35.9,75.6323,92.62636552009653,92.10836073559521,71.42500624394434,66.0173,13.134532836578545
25,NaCl,1,0.5,0.02,46.4,62.4049,92.62636552009653,70.20264400832272,61.58587048955779,50.995495,12.678592779966234
25,NaCl,1,0.5,0.02,59.9,51.76855,44.02650800009333,54.368005899801716,49.978455094035475,44.46498,12.115562889758912
25,NaCl,1,0.5,0.02,77.4,43.07725,44.02650800009333,48.4897520010386,43.87899729343367,43.95982,11.422757765392223
25,NaCl,1,0.5,0.02,100.0,35.85065,44.02650800009333,45.245063243023715,43.726023903004574,43.61644,10.586337686202176
25,NaCl,1,0.5,0.02,0.000999,56041.0,67777.67870101958,60536.405817119026,60887.56076538739,56811.406,14.820866416825742
25,NaCl,1,0.5,0.02,0.00129,69271.0,67777.67870101958,66626.76677631272,71926.33021626248,74830.27,14.82085190508903
25,NaCl,1,0.5,0.02,0.00167,73363.0,67777.67870101958,70609.67050795029,77002.06851496467,71598.77,14.820832955076218
25,NaCl,1,0.5,0.02,0.00215,74099.0,67777.67870101958,70609.67050795029,76353.78521090896,71598.77,14.820809018252573
25,NaCl,1,0.5,0.02,0.00278,73074.0,68832.04660804433,70609.67050795029,72309.55370303137,73758.76,14.820777601230196
25,NaCl,1,0.5,0.02,0.00359,70829.0,68832.04660804433,67715.15941867873,73009.17479309252,70452.76,14.820737208013576
25,NaCl,1,0.5,0.02,0.00464,67738.0,68832.04660804433,61151.51020690878,62841.696179717845,82353.55,14.82068484660033
25,NaCl,1,0.5,0.02,0.00599,64026.0,68832.04660804433,56652.83950254779,66317.00817125905,68393.05,14.820617525055113
25,NaCl,1,0.5,0.02,0.00774,59948.0,52939.01251158326,52177.52338416769,58899.67173659597,59981.92,14.820530256840529
25,NaCl,1,0.5,0.02,0.01,55553.0,52939.01251158326,49041.33191122349,50007.044453529066,52164.07,14.820417556935151
25,NaCl,1,0.5,0.02,0.0129,50951.0,52939.01251158326,45905.510007717035,48088.30508716524,47050.426,14.820272943267726
25,NaCl,1,0.5,0.02,0.0167,46288.0,52939.01251158326,43530.913462596276,39734.43115968873,44939.57,14.820083451632563
25,NaCl,1,0.5,0.02,0.0215,41526.0,31794.30146091859,40194.761814718106,39018.154892344384,41803.027,14.819844097240729
